input,input_type,roi_selected,expected_class,top1,top1_score,top2,top2_score,margin,accepted,correct,top3,preprocessing_ms,embedding_ms,search_ms,total_retrieval_ms,device,error
heart\physical-heart-01.png,unspecified,drawing-region,heart,human_heart,0.9705125689506531,earth,0.7362902760505676,0.23422229290008545,True,True,"[{""id"": ""human_heart"", ""score"": 0.9705125689506531}, {""id"": ""earth"", ""score"": 0.7362902760505676}, {""id"": ""toy_car"", ""score"": 0.6801511645317078}]",275.1806000014767,329.34309999109246,1.5168999962043017,606.1535000044387,cpu,
car\physical-car-frame-01.png,unspecified,drawing-region,car,toy_car,1.0000001192092896,earth,0.7714375853538513,0.22856253385543823,True,True,"[{""id"": ""toy_car"", ""score"": 1.0000001192092896}, {""id"": ""earth"", ""score"": 0.7714375853538513}, {""id"": ""human_heart"", ""score"": 0.7493443489074707}]",151.4053999853786,217.0330999942962,1.1200999724678695,369.6760000020731,cpu,
earth\physical-earth-frame-01.png,unspecified,page/rectangle,earth,earth,0.8970814347267151,human_heart,0.7559611797332764,0.14112025499343872,True,True,"[{""id"": ""earth"", ""score"": 0.8970814347267151}, {""id"": ""human_heart"", ""score"": 0.7559611797332764}, {""id"": ""toy_car"", ""score"": 0.7383704781532288}]",159.13180002826266,210.9294999972917,1.135200000135228,371.3186999957543,cpu,
earth\physical-earth-frame-02.png,unspecified,page/rectangle,earth,earth,0.8711764216423035,human_heart,0.7399151921272278,0.13126122951507568,True,True,"[{""id"": ""earth"", ""score"": 0.8711764216423035}, {""id"": ""human_heart"", ""score"": 0.7399151921272278}, {""id"": ""toy_car"", ""score"": 0.6937332153320312}]",203.51490000030026,326.9913000112865,2.1222000068519264,532.7571000088938,cpu,
