pid,perf_counter,metric,value,unit,detail
588,184451.3741533,scene_frame_ms,47.03640000661835,ms,capture
588,184451.3741921,startup_first_frame_ms,2452.816900011385,ms,
588,184451.4759884,scene_frame_ms,3.9120999863371253,ms,capture
588,184451.4827875,scene_frame_ms,2.071399998385459,ms,capture
588,184451.5237939,scene_frame_ms,32.76579998782836,ms,capture
588,184451.5388858,scene_frame_ms,13.990100007504225,ms,capture
588,184451.5540871,scene_frame_ms,13.961899996502325,ms,capture
588,184451.5583971,scene_frame_ms,3.277399984654039,ms,capture
588,184451.5717896,scene_frame_ms,1.8699000065680593,ms,capture
588,184451.5884112,scene_frame_ms,1.611199986655265,ms,capture
588,184451.6049376,scene_frame_ms,2.5492999993730336,ms,capture
588,184451.6206915,scene_frame_ms,2.1983000042382628,ms,capture
588,184451.6346268,scene_frame_ms,0.7567000284325331,ms,capture
588,184451.6509739,scene_frame_ms,1.0356999991927296,ms,capture
588,184451.6674345,scene_frame_ms,1.011700020171702,ms,capture
588,184451.6829347,scene_frame_ms,0.913399999262765,ms,capture
588,184451.6991152,scene_frame_ms,0.8024999988265336,ms,capture
588,184451.7167651,scene_frame_ms,1.7733999993652105,ms,capture
588,184451.7311995,scene_frame_ms,0.8885000133886933,ms,capture
588,184451.7473932,scene_frame_ms,0.8883999835234135,ms,capture
588,184451.7647091,scene_frame_ms,2.146000013453886,ms,capture
588,184451.779535,scene_frame_ms,0.8384000102523714,ms,capture
588,184451.7953327,scene_frame_ms,0.9949000086635351,ms,capture
588,184451.8117319,scene_frame_ms,1.7239000007975847,ms,capture
588,184451.8282494,scene_frame_ms,2.2988000127952546,ms,capture
588,184451.8426724,scene_frame_ms,0.7249999907799065,ms,capture
588,184451.8588528,scene_frame_ms,0.9695000189822167,ms,capture
588,184451.8761431,scene_frame_ms,1.2354999780654907,ms,capture
588,184451.8909518,scene_frame_ms,0.6392000068444759,ms,capture
588,184451.9068658,scene_frame_ms,0.9575999865774065,ms,capture
588,184451.9235508,scene_frame_ms,1.1153999948874116,ms,capture
588,184451.9385419,scene_frame_ms,0.683899997966364,ms,capture
588,184451.9546559,scene_frame_ms,0.7618999807164073,ms,capture
588,184451.9720496,scene_frame_ms,1.9835999992210418,ms,capture
588,184451.9865285,scene_frame_ms,0.6253000174183398,ms,capture
588,184452.0030982,scene_frame_ms,0.7065999961923808,ms,capture
588,184452.0199955,scene_frame_ms,1.5075999835971743,ms,capture
588,184452.0350784,scene_frame_ms,0.676800002111122,ms,capture
588,184452.0510551,scene_frame_ms,0.6446000188589096,ms,capture
588,184452.0677969,scene_frame_ms,1.333599997451529,ms,capture
588,184452.0839399,scene_frame_ms,1.031799998600036,ms,capture
588,184452.0985998,scene_frame_ms,0.6510000093840063,ms,capture
588,184452.1147811,scene_frame_ms,0.8394999895244837,ms,capture
588,184452.1322476,scene_frame_ms,1.4297999732661992,ms,capture
588,184452.1471175,scene_frame_ms,0.6487999926321208,ms,capture
588,184452.163278,scene_frame_ms,0.8410000009462237,ms,capture
588,184452.2247123,scene_frame_ms,17.311700008576736,ms,capture
588,184452.2283345,scene_frame_ms,1.441900007193908,ms,capture
588,184452.2437615,renderer_fps,47.53040435812328,fps,capture
588,184452.2437652,scene_frame_ms,1.802499988116324,ms,capture
588,184452.2586492,scene_frame_ms,0.8187999774236232,ms,capture
588,184452.274721,scene_frame_ms,1.1383999953977764,ms,capture
588,184452.2931993,scene_frame_ms,2.815499989083037,ms,capture
588,184452.3068471,scene_frame_ms,0.6806000019423664,ms,capture
588,184452.3247492,scene_frame_ms,2.6120000111404806,ms,capture
588,184452.3404594,scene_frame_ms,1.4083999849390239,ms,capture
588,184452.3546907,scene_frame_ms,0.6854000093881041,ms,capture
588,184452.3702969,scene_frame_ms,0.6157000025268644,ms,capture
588,184452.3965533,scene_frame_ms,4.981499980203807,ms,capture
588,184452.4025698,scene_frame_ms,0.7342000026255846,ms,capture
588,184452.418666,scene_frame_ms,0.6466000049840659,ms,capture
588,184452.4348755,scene_frame_ms,0.8299000037368387,ms,capture
588,184452.4508158,scene_frame_ms,0.7705000170972198,ms,capture
588,184452.467599,scene_frame_ms,0.808100012363866,ms,capture
588,184452.4828433,scene_frame_ms,0.8236999856308103,ms,capture
588,184452.4986065,scene_frame_ms,0.8505000150762498,ms,capture
588,184452.5158828,scene_frame_ms,1.5149000100791454,ms,capture
588,184452.5304401,scene_frame_ms,0.82970000221394,ms,capture
588,184452.5466052,scene_frame_ms,0.98230000003241,ms,capture
588,184452.56232,scene_frame_ms,0.7234000077005476,ms,capture
588,184452.578237,scene_frame_ms,0.6201000069268048,ms,capture
588,184452.595792,scene_frame_ms,0.6065999914426357,ms,capture
588,184452.6108195,scene_frame_ms,1.1802000226452947,ms,capture
588,184452.6267317,scene_frame_ms,0.7403000199701637,ms,capture
588,184452.6427874,scene_frame_ms,0.7405999931506813,ms,capture
588,184452.6589531,scene_frame_ms,1.0516999755054712,ms,capture
588,184452.6744288,scene_frame_ms,0.5892000044696033,ms,capture
588,184452.6908684,scene_frame_ms,0.7582000107504427,ms,capture
588,184452.7063684,scene_frame_ms,0.7407999946735799,ms,capture
588,184452.7231798,scene_frame_ms,0.6839999987278134,ms,capture
588,184452.7389545,scene_frame_ms,0.6058000144548714,ms,capture
588,184452.7565676,scene_frame_ms,2.1308000141289085,ms,capture
588,184452.7736165,scene_frame_ms,1.0858000023290515,ms,capture
588,184452.7862761,scene_frame_ms,0.6415999960154295,ms,capture
588,184452.8024911,scene_frame_ms,0.9660999930929393,ms,capture
588,184452.8187847,scene_frame_ms,0.6569000252056867,ms,capture
588,184452.8347752,scene_frame_ms,0.6312000041361898,ms,capture
588,184452.8543116,scene_frame_ms,4.11439998424612,ms,capture
588,184452.86776,scene_frame_ms,1.0655999940354377,ms,capture
588,184452.8838922,scene_frame_ms,0.9798000101000071,ms,capture
588,184452.9367922,scene_frame_ms,0.6557999877259135,ms,capture
588,184452.9375503,scene_frame_ms,0.5110999918542802,ms,capture
588,184452.9468353,scene_frame_ms,0.9179000044241548,ms,capture
588,184452.96319,scene_frame_ms,0.8772000146564096,ms,capture
588,184452.9810581,scene_frame_ms,1.037600013660267,ms,capture
588,184452.9959295,scene_frame_ms,1.0710999777074903,ms,capture
588,184453.0114817,scene_frame_ms,1.2450999929569662,ms,capture
588,184453.0266243,scene_frame_ms,0.6464000034611672,ms,capture
588,184453.0425907,scene_frame_ms,0.6209999846760184,ms,capture
588,184453.0586428,scene_frame_ms,0.6718000222463161,ms,capture
588,184453.0747789,scene_frame_ms,0.7801000028848648,ms,capture
588,184453.0906215,scene_frame_ms,0.6465000042226166,ms,capture
588,184453.1071944,scene_frame_ms,0.6454999966081232,ms,capture
588,184453.1223452,scene_frame_ms,0.7305000035557896,ms,capture
588,184453.1382598,scene_frame_ms,0.6676999910268933,ms,capture
588,184453.1542283,scene_frame_ms,0.6615000020246953,ms,capture
588,184453.1704999,scene_frame_ms,0.9244999964721501,ms,capture
588,184453.1862679,scene_frame_ms,0.6653999735135585,ms,capture
588,184453.2027497,scene_frame_ms,0.6316000071819872,ms,capture
588,184453.2188648,scene_frame_ms,0.7803000044077635,ms,capture
588,184453.2347724,scene_frame_ms,0.6718000222463161,ms,capture
588,184453.2508468,renderer_fps,61.56389368925913,fps,capture
588,184453.2508509,scene_frame_ms,0.6619000050704926,ms,capture
588,184453.2671123,scene_frame_ms,1.0245000012218952,ms,capture
588,184453.2835644,scene_frame_ms,1.3999000075273216,ms,capture
588,184453.2991662,scene_frame_ms,0.659500015899539,ms,capture
588,184453.3151985,scene_frame_ms,1.1596000113058835,ms,capture
588,184453.332462,scene_frame_ms,1.444399997126311,ms,capture
588,184453.3478576,scene_frame_ms,1.3513999874703586,ms,capture
588,184453.3637315,scene_frame_ms,1.135800004703924,ms,capture
588,184453.3813619,scene_frame_ms,3.123500006040558,ms,capture
588,184453.395088,scene_frame_ms,1.4818999916315079,ms,capture
588,184453.4125791,scene_frame_ms,1.3488999975379556,ms,capture
588,184453.4283269,scene_frame_ms,1.5774000203236938,ms,capture
588,184453.4448318,scene_frame_ms,0.8966999885160476,ms,capture
588,184453.460188,scene_frame_ms,1.8378999957349151,ms,capture
588,184453.4755581,scene_frame_ms,1.042299991240725,ms,capture
588,184453.5032917,scene_frame_ms,3.5924999974668026,ms,capture
588,184453.528755,scene_frame_ms,6.772699998691678,ms,capture
588,184453.5485837,scene_frame_ms,0.8440000237897038,ms,capture
588,184453.5577284,scene_frame_ms,0.7350000087171793,ms,capture
588,184453.5735528,scene_frame_ms,1.2861999857705086,ms,capture
588,184453.5973249,scene_frame_ms,0.7311000081244856,ms,capture
588,184453.615263,scene_frame_ms,6.994099996518344,ms,capture
588,184453.6288441,scene_frame_ms,5.962099996395409,ms,capture
588,184453.6477753,scene_frame_ms,5.980300018563867,ms,capture
588,184453.6616347,scene_frame_ms,0.6609999982174486,ms,capture
588,184453.6666498,scene_frame_ms,0.7917000039014965,ms,capture
588,184453.6824434,scene_frame_ms,0.618399993982166,ms,capture
588,184453.6991727,scene_frame_ms,0.7516999903600663,ms,capture
588,184453.7151123,scene_frame_ms,0.6998999742791057,ms,capture
588,184453.731008,scene_frame_ms,0.6051000091247261,ms,capture
588,184453.7472764,scene_frame_ms,0.8339000050909817,ms,capture
588,184453.7652278,scene_frame_ms,2.808799996273592,ms,capture
588,184453.7789984,scene_frame_ms,0.6446000188589096,ms,capture
588,184453.7952073,scene_frame_ms,0.7993000035639852,ms,capture
588,184453.8113064,scene_frame_ms,1.3214999926276505,ms,capture
588,184453.8266543,scene_frame_ms,0.7163000118453056,ms,capture
588,184453.8428887,scene_frame_ms,0.833700003568083,ms,capture
588,184453.8587468,scene_frame_ms,0.7548000139649957,ms,capture
588,184453.8745779,scene_frame_ms,0.9321999968960881,ms,capture
588,184453.8904891,scene_frame_ms,0.6952999974600971,ms,capture
588,184453.9067072,scene_frame_ms,0.8147000044118613,ms,capture
588,184453.9265125,scene_frame_ms,4.152700013946742,ms,capture
588,184453.942925,scene_frame_ms,4.614599980413914,ms,capture
588,184453.9571084,scene_frame_ms,2.800100017338991,ms,capture
588,184453.9713973,scene_frame_ms,1.115100021706894,ms,capture
588,184453.9864822,scene_frame_ms,0.607299996772781,ms,capture
588,184454.0033905,scene_frame_ms,1.033600012306124,ms,capture
588,184454.0188467,scene_frame_ms,0.6504000048153102,ms,capture
588,184454.0351737,scene_frame_ms,0.6953999982215464,ms,capture
588,184454.0992587,scene_frame_ms,0.61039999127388,ms,capture
588,184454.1016949,scene_frame_ms,2.137400006176904,ms,capture
588,184454.115113,scene_frame_ms,1.3124000106472522,ms,capture
588,184454.1315465,scene_frame_ms,0.9844000160228461,ms,capture
588,184454.1461896,scene_frame_ms,0.6315999780781567,ms,capture
588,184454.1624108,scene_frame_ms,0.5952000210527331,ms,capture
588,184454.1786986,scene_frame_ms,0.6437999836634845,ms,capture
588,184454.1963629,scene_frame_ms,1.8943000177387148,ms,capture
588,184454.2106934,scene_frame_ms,0.6301999965216964,ms,capture
588,184454.2270563,scene_frame_ms,0.9005000174511224,ms,capture
588,184454.2428032,scene_frame_ms,0.6898000137880445,ms,capture
588,184454.2615179,renderer_fps,59.36634148165042,fps,capture
