pid,perf_counter,metric,value,unit,detail
3884,183496.9229547,scene_frame_ms,34.47280000546016,ms,capture
3884,183496.9229736,startup_first_frame_ms,2230.534100002842,ms,
3884,183497.0169088,scene_frame_ms,1.8612999992910773,ms,capture
3884,183497.0251179,scene_frame_ms,2.0667000208050013,ms,capture
3884,183497.0522902,scene_frame_ms,12.672600016230717,ms,capture
3884,183497.0707314,scene_frame_ms,15.480600006412715,ms,capture
3884,183497.0748168,scene_frame_ms,3.2808000105433166,ms,capture
3884,183497.0878817,scene_frame_ms,1.069099991582334,ms,capture
3884,183497.1065695,scene_frame_ms,3.7010000087320805,ms,capture
3884,183497.1206764,scene_frame_ms,1.6273999935947359,ms,capture
3884,183497.1358142,scene_frame_ms,0.9049999935086817,ms,capture
3884,183497.1515979,scene_frame_ms,0.7925999816507101,ms,capture
3884,183497.1678287,scene_frame_ms,0.856899976497516,ms,capture
3884,183497.1844541,scene_frame_ms,0.9459999855607748,ms,capture
3884,183497.1992654,scene_frame_ms,0.7755999977234751,ms,capture
3884,183497.2152311,scene_frame_ms,0.8342000073753297,ms,capture
3884,183497.2326767,scene_frame_ms,1.9937999895773828,ms,capture
3884,183497.2479124,scene_frame_ms,1.1832000163849443,ms,capture
3884,183497.2631098,scene_frame_ms,0.6916999991517514,ms,capture
3884,183497.2793683,scene_frame_ms,0.8336000028066337,ms,capture
3884,183497.296957,scene_frame_ms,1.7353000002913177,ms,capture
3884,183497.3115211,scene_frame_ms,0.7587000145576894,ms,capture
3884,183497.3277248,scene_frame_ms,0.9873000090010464,ms,capture
3884,183497.344704,scene_frame_ms,1.3222999987192452,ms,capture
3884,183497.3594746,scene_frame_ms,0.7202000124379992,ms,capture
3884,183497.375443,scene_frame_ms,1.0890999983530492,ms,capture
3884,183497.3922924,scene_frame_ms,1.4603000017814338,ms,capture
3884,183497.4071331,scene_frame_ms,0.7259999983943999,ms,capture
3884,183497.4231215,scene_frame_ms,0.6773000059183687,ms,capture
3884,183497.4398974,scene_frame_ms,1.3342999736778438,ms,capture
3884,183497.4556285,scene_frame_ms,0.9651999862398952,ms,capture
3884,183497.4711172,scene_frame_ms,0.7136999920476228,ms,capture
3884,183497.4885217,scene_frame_ms,1.3763000024482608,ms,capture
3884,183497.5037009,scene_frame_ms,0.7195000071078539,ms,capture
